99971 2
62 77 53922
14 54 48934
52 95 77084
99 13 32568
84 67 70828
12 67 34267
43 33 35480
15 74 4167
59 14 43656
69 100 15485
70 64 75880
54 42 14436
89 12 14829
12 43 65663
42 49 21968
95 1 83109
27 86 14569
76 46 12378
48 37 36571
59 40 45452
92 87 36115
85 37 43922
43 86 81668
54 63 95632
86 76 36048
65 61 19005
29 52 60103
31 34 53034
73 32 43318
8 59 28543
25 38 63657
53 18 30818
46 84 7001
45 4 37923
23 43 55359
44 40 205
100 85 2707
71 60 74437
73 72 60092
28 42 56148
3 65 53567
74 15 13807
74 62 72431
59 88 5890
74 79 85452
99 46 46674
45 44 72479
7 21 22084
7 75 14713
30 97 21418
43 7 19029
71 38 95065
55 92 47082
96 93 4895
58 65 86552
95 1 28222
81 83 53949
3 26 31065
27 28 59095
76 70 70979
42 12 81196
100 83 30594
66 54 14326
98 19 3314
78 23 27777
61 51 44977
21 52 59321
4 57 18477
43 62 99960
17 48 23259
27 47 39739
47 78 72857
36 33 10801
99 43 92948
26 40 92921
41 58 70193
47 78 16284
63 64 48042
40 26 14041
81 44 83620
84 62 99373
13 81 83979
25 73 1572
90 25 17565
100 33 61169
71 83 56253
99 5 62821
11 3 41960
48 15 68428
86 2 15752
43 5 51872
83 52 15712
51 78 93641
100 69 42056
15 49 32209
36 40 58296
25 72 82184
4 69 14922
15 86 51512
78 30 97537
18 15 21244
25 55 75443
82 30 95217
63 50 17017
70 83 93461
32 61 49963
88 81 7491
54 67 27326
79 83 80673
32 18 96646
47 37 10876
29 83 29315
85 100 91285
31 56 52357
89 33 59094
91 82 18019
7 92 27675
15 36 83445
65 86 79735
90 100 4734
78 16 76652
9 24 66008
53 80 3037
23 8 89649
42 26 73897
94 56 86024
26 38 20006
28 58 99093
27 35 92281
93 64 38611
77 24 15742
78 59 39118
57 67 83468
66 29 49965
67 54 31701
18 41 87611
26 23 84534
31 63 53938
88 18 94654
98 100 23303
26 57 73906
84 50 64964
15 56 40574
91 77 36778
29 2 39316
37 91 95641
39 60 49053
47 87 54834
82 62 94310
94 98 14101
35 40 70599
50 43 80671
55 47 9705
16 23 21429
34 86 60624
98 2 64840
62 68 30719
60 79 41043
76 6 94819
84 7 78386
56 38 74055
12 99 40099
75 15 73760
77 66 79538
60 76 75493
19 94 64096
72 20 72747
53 35 78713
3 25 32776
2 3 60936
79 28 11695
3 51 38436
30 32 56745
100 50 15221
97 4 81555
49 84 25610
70 7 71945
96 63 51274
33 54 22277
10 92 50072
52 38 93164
21 14 19255
56 93 89895
73 9 68907
9 37 79464
93 95 3854
33 54 49998
74 9 52100
71 59 3793
24 98 68311
41 65 62898
74 34 8808
26 42 90629
69 59 21342
44 49 523
13 29 18294
96 62 10864
82 39 77836
43 71 4453
61 49 94034
44 81 51278
16 13 3860
34 67 98054
23 13 28205
71 23 68530
17 91 60610
51 27 53171
48 95 50630
81 7 965
3 72 38692
87 87 22254
65 51 54891
4 78 59905
46 14 73973
66 77 92927
24 40 33589
93 79 55407
50 13 49323
73 100 73460
76 60 82301
54 49 94349
80 71 80534
11 63 60315
53 72 58574
54 11 65713
40 99 3512
40 88 10081
24 14 77052
42 87 38050
41 68 92981
55 29 21235
83 23 76528
64 23 93402
8 35 42141
14 81 39781
21 30 62043
94 63 48498
9 42 5941
44 80 6368
88 11 22331
5 38 29702
70 87 18976
35 59 84242
94 91 58696
58 7 58294
44 63 27625
85 54 42488
61 53 44125
48 56 33031
88 56 33126
73 44 62209
13 30 83972
92 6 78934
91 75 69355
33 80 77883
12 82 14117
71 16 11882
51 22 79602
86 97 18824
76 31 83741
58 76 68710
31 36 66548
14 70 89232
3 84 15451
29 65 63013
29 62 55130
9 58 31336
39 54 24563
34 25 47981
71 2 52761
35 59 92654
47 2 71080
36 35 14013
27 50 42183
16 63 54487
69 71 82286
79 2 61561
2 7 86752
48 11 47835
94 2 71943
100 31 5217
60 29 44431
46 17 78453
80 85 24704
42 19 49328
45 7 16829
64 45 75141
45 100 21924
47 62 92745
30 26 82785
21 17 50203
99 63 83210
76 89 75221
64 36 99738
65 93 54266
85 9 61447
15 62 59107
2 33 87525
24 48 72368
76 13 97944
89 85 90013
58 51 62687
54 9 5858
43 36 59895
27 16 63520
24 55 15651
85 100 80489
56 23 39981
99 65 18808
86 29 98748
92 96 44847
22 24 90061
35 74 39505
67 25 13940
49 13 78357
10 22 13985
8 41 26147
85 75 87981
26 77 73079
12 10 55008
92 5 21538
94 87 90926
32 69 88991
21 61 22240
76 95 82505
68 46 34825
30 54 61364
50 40 43733
2 55 17456
16 82 72461
92 32 24717
45 10 94940
40 89 23931
95 43 28440
36 89 65841
2 56 54525
79 11 85585
11 76 24138
92 31 41118
77 18 88494
47 23 35327
52 93 59453
4 45 64019
17 79 20673
37 67 90126
20 56 44656
18 53 92629
15 11 18053
71 1 1813
27 98 58358
76 55 6119
38 18 43936
42 4 82560
73 95 43773
30 99 34769
5 18 21977
40 95 53316
48 66 4836
18 2 74319
27 14 40859
34 66 82657
98 11 50243
23 62 83388
60 45 27709
77 34 4704
78 9 23476
97 77 62228
10 75 91824
70 40 87195
73 81 41927
80 95 97804
85 42 38414
81 18 89054
90 40 14854
55 15 87425
8 52 38082
43 20 59737
85 47 80232
86 60 79139
14 40 904
32 20 58646
59 21 41080
24 30 40166
4 34 83507
72 15 20149
86 67 51564
27 29 17876
77 40 79444
45 1 28513
27 67 76032
56 90 42232
76 73 99517
44 73 18391
26 1 97291
3 51 62424
6 35 96685
62 87 20624
47 97 97261
50 82 59406
89 4 87172
27 44 89570
99 65 38029
27 51 79727
35 13 76272
99 56 22246
64 31 51844
82 73 84689
94 38 88891
10 70 82360
89 90 57278
30 1 43897
15 85 68205
100 28 44651
46 9 24044
69 3 7252
22 23 8136
64 20 21798
74 100 12084
99 30 32457
9 68 33624
58 67 47133
51 71 78584
24 43 76841
32 37 57423
66 45 11901
55 57 29486
78 8 29789
9 16 1367
82 49 19086
65 42 72490
67 99 76950
11 70 85471
55 71 21403
17 17 9930
4 24 52227
42 8 34439
70 62 26701
52 45 19850
83 65 26252
20 90 9236
23 11 42683
48 3 16318
20 53 81820
94 24 49974
59 10 23778
45 97 33935
62 99 4305
11 86 62259
25 43 82537
59 14 56985
5 35 78348
6 85 45987
44 76 11346
51 8 37698
23 69 6043
95 41 75306
57 12 90914
66 84 18540
84 22 19826
96 71 11016
22 91 3403
19 19 97077
71 14 90496
55 96 83888
94 20 67908
45 36 18649
21 52 29580
23 64 47911
87 65 59626
78 20 49560
54 26 86131
20 70 30953
62 50 90713
35 82 95187
73 43 80585
98 12 43023
42 80 39224
94 83 85968
90 61 57969
25 70 78487
68 31 85999
67 56 42433
35 23 20772
81 43 88114
2 32 65776
95 47 5552
52 41 86625
20 95 55387
54 91 42542
34 16 78719
76 16 28098
60 90 26331
18 65 34633
40 50 87682
33 45 19086
76 74 21932
71 13 69367
78 40 40797
77 19 34233
45 59 17947
87 54 37300
63 21 47603
44 62 69882
75 91 57323
26 73 6513
38 30 16938
49 64 14386
46 50 4231
48 72 88863
46 63 43393
33 33 23886
87 23 3862
54 22 28608
43 9 20624
85 33 68562
13 87 25126
19 34 3791
38 33 73319
58 43 37759
86 72 18343
48 99 68458
18 68 26452
38 10 52422
49 57 85673
33 57 69626
44 32 81348
98 4 69994
48 38 46852
87 26 28503
27 87 62752
33 36 73532
99 68 22505
72 67 76588
59 12 72009
34 50 19282
79 93 84187
62 89 52725
76 74 10166
69 67 49710
40 88 5589
63 53 64570
99 63 77438
17 85 73649
98 21 24216
64 42 7629
39 100 77224
58 61 62812
71 67 82228
36 58 80509
4 24 77335
26 49 74403
20 34 63994
6 29 17516
59 62 97518
13 2 94711
21 97 13646
38 41 7827
95 48 72460
100 16 96988
50 61 9422
87 66 91253
12 62 37733
14 79 71727
52 38 97746
58 38 23842
73 60 9756
65 11 20756
50 55 46274
70 99 86200
24 96 65186
47 91 86848
71 18 46138
38 1 48806
57 74 53875
33 14 22669
75 26 96314
79 73 38530
46 76 38726
26 89 10618
98 80 96385
59 74 20131
91 12 55127
85 32 57974
70 47 69899
83 93 58292
95 24 71343
23 15 99277
39 84 68748
77 30 78282
81 94 82223
34 53 26082
6 36 87264
45 43 13791
18 81 59119
84 47 25184
35 46 48203
45 78 10957
55 10 21301
71 63 17479
11 41 76453
28 74 28617
32 19 26191
97 19 4282
56 3 26340
21 18 48130
38 80 17932
52 31 73951
94 80 2455
22 28 85630
30 89 91189
49 92 18269
75 11 76655
80 93 38396
13 51 70538
82 100 74623
84 92 83526
51 13 65112
81 41 22577
49 67 15020
37 77 44986
12 78 47878
35 89 26666
74 51 69443
71 70 87176
18 60 61678
48 94 64813
2 70 33161
22 21 72282
5 79 30464
46 5 67803
33 87 28039
1 46 76791
26 5 83315
53 7 21676
5 52 11684
40 55 41535
9 5 29872
67 50 2079
63 66 61458
52 75 31565
25 89 71535
46 83 46106
38 12 81501
59 19 86990
45 67 60554
92 29 52319
10 57 19580
83 10 59531
87 53 77773
94 84 30039
69 15 87073
82 93 73046
40 70 95025
26 7 60734
15 36 84094
49 42 37134
23 24 92391
31 5 35210
34 58 56121
